project,target,configuration,hash,code,status,start,end
@gaemi-school/themes,build,,4833607812822645537,0,success,1721027214521,1721027221176
client,build,,15221826728842168821,1,failure,1721027221178,1721027222723
@gaemi-school/themes,build,,4833607812822645537,0,local-cache,1721027346529,1721027346564
client,build,,15221826728842168821,0,success,1721027346571,1721027386297
@gaemi-school/themes,build,,10340020381197515372,0,success,1721028377536,1721028384715
@gaemi-school/esbuild-config,build,,636218247948126845,0,success,1721031816112,1721031817262
@gaemi-school/themes,build,,12581827806385193295,0,success,1721031817264,1721031824552
@gaemi-school/esbuild-config,build,,636218247948126845,0,local-cache,1721032677079,1721032677130
@gaemi-school/themes,build,,12581827806385193295,0,local-cache,1721032677135,1721032677151
@gaemi-school/react-components-layout,build,,10986978310773232451,0,success,1721032677158,1721032685482
@gaemi-school/esbuild-config,build,,3771877960776802330,0,success,1721214664130,1721214665400
@gaemi-school/themes,build,,15581895135809410545,0,success,1721214665401,1721214673377
@gaemi-school/react-components-layout,build,,15519437599273277338,0,success,1721214673380,1721214684020
@gaemi-school/esbuild-config,build,,3771877960776802330,0,local-cache-kept-existing,1721216436792,1721216436823
@gaemi-school/themes,build,,11165206732007250742,0,success,1721216436828,1721216444616
@gaemi-school/react-components-layout,build,,1696682180621225749,0,success,1721216444618,1721216453558
@gaemi-school/esbuild-config,build,,12439561676325026179,0,success,1721217155934,1721217157384
@gaemi-school/themes,build,,7393580616432109424,0,success,1721217157385,1721217165535
@gaemi-school/react-components-layout,build,,4913819505243206372,0,success,1721217165537,1721217177814
@gaemi-school/react-components-layout,dev,,17281821738272140611,1,failure,1721218373495,1721218382215
@gaemi-school/react-components-layout,dev,,5769828065978104121,1,failure,1721218669992,1721218677042
@gaemi-school/react-components-layout,dev,,1587635915737408902,0,success,1721219206316,1721219224885
